C,threshold,consecutive,false_alerts,benign_hours,fah,detected,runs,detection,ttd,telemetry_fault_identification_rate
0.003,0.6,12,16,7.466666666666667,2.142857142857143,103,120,0.8583333333333333,57.49843884003349,1.0
0.003,0.6,16,11,7.466666666666667,1.4732142857142856,97,120,0.8083333333333333,77.4982749640476,1.0
0.003,0.6,20,11,7.466666666666667,1.4732142857142856,94,120,0.7833333333333333,97.49829261493869,1.0
0.003,0.6,22,10,7.466666666666667,1.3392857142857142,94,120,0.7833333333333333,107.49837455293164,1.0
0.003,0.6,24,10,7.466666666666667,1.3392857142857142,91,120,0.7583333333333333,117.4982749640476,1.0
0.003,0.6,26,9,7.466666666666667,1.2053571428571428,88,120,0.7333333333333333,127.49822063650936,1.0
0.003,0.6,28,9,7.466666666666667,1.2053571428571428,86,120,0.7166666666666667,137.49827266309876,1.0
0.003,0.6,30,9,7.466666666666667,1.2053571428571428,82,120,0.6833333333333333,147.49822063650936,1.0
0.003,0.6,32,8,7.466666666666667,1.0714285714285714,78,120,0.65,157.49816032638773,1.0
0.003,0.6,36,6,7.466666666666667,0.8035714285714286,73,120,0.6083333333333333,177.4981490741484,1.0
0.003,0.6,38,6,7.466666666666667,0.8035714285714286,71,120,0.5916666666666667,187.4981490741484,1.0
0.003,0.6,40,5,7.466666666666667,0.6696428571428571,70,120,0.5833333333333334,197.4981383655686,1.0
0.003,0.6,42,4,7.466666666666667,0.5357142857142857,70,120,0.5833333333333334,207.49814940802753,1.0
0.003,0.6,44,4,7.466666666666667,0.5357142857142857,69,120,0.575,217.4981490741484,1.0
0.003,0.6,48,4,7.466666666666667,0.5357142857142857,69,120,0.575,237.4981490741484,1.0
0.003,0.6,52,4,7.466666666666667,0.5357142857142857,66,120,0.55,257.4981383655686,1.0
0.003,0.6,56,4,7.466666666666667,0.5357142857142857,63,120,0.525,277.49812312284485,1.0
0.003,0.6,60,4,7.466666666666667,0.5357142857142857,59,120,0.49166666666666664,297.49812312284485,1.0
0.003,0.7,1,90,7.466666666666667,12.053571428571429,119,120,0.9916666666666667,2.4981490741483867,1.0
0.003,0.7,2,63,7.466666666666667,8.4375,114,120,0.95,7.498374552931637,1.0
0.003,0.7,3,47,7.466666666666667,6.294642857142857,109,120,0.9083333333333333,17.486998375039548,1.0
0.003,0.7,4,36,7.466666666666667,4.821428571428571,107,120,0.8916666666666667,22.492142217000946,1.0
0.003,0.7,5,28,7.466666666666667,3.75,105,120,0.875,27.492251958930865,1.0
0.003,0.7,6,26,7.466666666666667,3.482142857142857,104,120,0.8666666666666667,32.494570625945926,1.0
0.003,0.7,8,21,7.466666666666667,2.8125,98,120,0.8166666666666667,42.497061395435594,1.0
0.003,0.7,10,15,7.466666666666667,2.008928571428571,90,120,0.75,49.995401398977265,1.0
0.003,0.7,12,11,7.466666666666667,1.4732142857142856,85,120,0.7083333333333334,57.498529446078464,1.0
0.003,0.7,16,10,7.466666666666667,1.3392857142857142,81,120,0.675,77.49831026582979,1.0
0.003,0.7,20,9,7.466666666666667,1.2053571428571428,76,120,0.6333333333333333,97.49822063650936,1.0
0.003,0.7,22,8,7.466666666666667,1.0714285714285714,73,120,0.6083333333333333,107.4981709108688,1.0
0.003,0.7,24,8,7.466666666666667,1.0714285714285714,72,120,0.6,117.49816032638773,1.0
0.003,0.7,26,7,7.466666666666667,0.9375,70,120,0.5833333333333334,127.49816032638773,1.0
0.003,0.7,28,7,7.466666666666667,0.9375,68,120,0.5666666666666667,137.49822063650936,1.0
